Table of Amino Acid and SASA values,,,
Residue,Sidechain SASA,Total SASA,Number of Atoms
arg,249.4673309,380.2754517,24
his,194.6491394,323.2107239,17
lys,214.5114136,344.1722412,22
asp,142.6577301,272.8369141,12
glu,173.6901855,303.7915955,15
ser,110.3298187,240.5674744,11
thr,141.3123779,268.1856995,14
asn,155.2926178,283.9153137,14
gln,184.1813354,313.8310242,17
cys,131.9754333,261.8157043,11
gly,34.49541855,200.8881836,7
pro,153.1377106,258.9144592,14
ala,91.39417267,229.5201416,10
val,157.4189758,279.6635132,16
ile,183.812027,306.1242676,19
leu,181.1264496,308.8426819,19
met,192.694458,323.5989075,17
phe,218.0111237,342.800415,20
tyr,231.1389923,357.9006042,21
trp,262.1514587,387.6826172,24
